material_id,bulk_modulus
mp-4051,17.002
mp-5724,26.709
mp-5859,58.017
mp-7848,23.763
mp-545974,121.145
mp-1025271,218.902
mp-27462,6.855
mp-829,155.221
mp-7189,149.85
mp-669546,149.807
mp-2824,157.601
mp-605663,160.22
mp-27393,15.439
mp-10904,179.259
mp-16526,203.954
mp-16960,205.051
mp-188,224.023
mp-607111,218.746
mp-10909,244.694
mp-364,194.408
mp-542569,203.483
mp-2624,49.576
mp-1018100,49.329
mp-676861,197.857
mp-862778,230.759
mp-31220,14.548
mp-1018166,224.534
mp-3751,45.26
mp-5606,56.864
mp-557233,40.935
mp-14105,96.438
mp-9579,27.221
mp-1025497,174.748
mp-1387,161.804
mp-569458,218.608
mp-4955,195.177
mp-5778,220.899
mp-1008530,204.053
mp-10899,167.301
mp-862700,270.525
mp-866001,236.108
mp-862705,220.942
mp-866033,184.832
mp-11,31.388
mp-15649,152.046
mp-1581,9.944
mp-555434,91.699
mp-2455,166.406
mp-505368,40.636
mp-20465,110.797
mp-6915,140.541
mp-2513,136.486
mp-15954,134.441
mp-766,150.88
mp-641,5.969
mp-909,7.518
mp-540912,128.27
mp-8182,115.538
mp-11696,134.969
mp-23280,0.557
mp-703470,29.325
mp-23218,3.438
mp-8073,124.288
mp-20257,87.148
mp-2512,151.799
mp-10848,100.205
mp-10849,95.795
mp-22079,157.445
mp-2302,189.638
mp-542570,1.962
mp-81,134.195
mp-1008634,120.075
mp-27253,80.505
mp-947,66.577
mp-570140,7.634
mp-32780,10.267
mp-27725,2.167
mp-2793,9.015
mp-160,210.223
mp-161,333.205
mp-23791,14.465
mp-576,223.146
mp-1008528,146.701
mp-2331,300.149
mp-306,33.164
mp-717,168.858
mp-2850,311.334
mp-1077,283.343
mp-1019509,32.078
mp-569803,320.671
mp-1079348,338.097
mp-13854,300.208
mp-530074,219.382
mp-696746,226.426
mp-1238815,238.023
mp-1228634,291.541
mp-1228631,320.077
mp-31064,14.126
mp-1346,228.689
mp-28395,198.464
mp-758933,204.847
mp-1228652,209.358
mp-1228685,210.762
mp-10044,131.927
mp-984718,132.161
mp-3277,52.254
mp-23225,1.53
mp-23184,0.113
mp-558149,5.472
mp-35082,8.054
mp-23189,0.806
mp-28897,236.227
mp-1890,311.129
mp-999198,308.669
mp-2501,293.327
mp-4472,316.049
mp-984,102.457
mp-1639,373.617
mp-2653,373.485
mp-7991,97.905
mp-13150,94.626
mp-604884,102.403
mp-629015,99.716
mp-4674,16.052
mp-997617,354.637
mp-1479,162.017
mp-1008559,162.161
mp-3589,59.735
mp-7424,173.199
mp-567164,276.584
mp-7832,341.8
mp-1008487,339.625
mp-1113,329.552
mp-56,8.259
mp-122,8.934
mp-13910,55.955
mp-8579,50.57
mp-7882,47.006
mp-31059,43.029
mp-12863,38.836
mp-38394,21.215
mp-6962,63.365
mp-8237,58.202
mp-571350,75.501
mp-568113,73.313
mp-4109,76.622
mp-12073,100.302
mp-5730,47.902
mp-7349,83.444
mp-12927,98.183
mp-571599,59.927
mp-8281,44.501
mp-8279,50.707
mp-8150,35.993
mp-20563,76.172
mp-1029457,94.162
mp-571339,54.127
mp-16052,76.143
mp-505215,66.243
mp-9247,58.575
mp-7374,56.503
mp-4255,67.265
mp-10437,67.478
mp-4883,83.619
mp-27660,41.504
mp-10698,65.958
mp-37741,49.59
mp-8280,45.089
mp-29209,31.668
mp-7876,43.231
mp-8278,51.07
mp-20452,30.681
mp-9567,36.216
mp-7875,49.007
mp-15608,7.36
mp-22412,50.054
mp-19857,82.846
mp-3835,54.991
mp-27897,30.201
mp-4396,27.443
mp-568280,64.021
mp-9473,76.493
mp-28927,104.512
mp-571420,93.31
mp-28895,87.709
mp-11169,96.768
mp-559939,51.839
mp-8236,61.494
mp-8583,81.062
mp-4484,88.019
mp-759541,65.978
mp-9127,87.909
mp-6963,63.981
mp-567771,157.981
mp-27388,62.603
mp-7427,51.414
mp-570198,47.429
mp-7426,55.357
mp-13920,43.515
mp-2768,24.595
mp-861937,36.968
mp-1018098,37.437
mp-6879,73.578
mp-20841,108.746
mp-6739,123.932
mp-8093,14.827
mp-21879,137.231
mp-23085,45.518
mp-552934,39.984
mp-554352,57.176
mp-1022726,30.978
mp-6562,66.455
mp-8790,77.113
mp-752730,64.347
mp-697044,41.59
mp-697038,42.322
mp-754363,109.181
mp-9321,56.786
mp-8094,16.104
mp-6205,104.048
mp-550081,122.823
mp-557713,121.346
mp-605860,16.114
mp-10584,82.233
mp-6270,84.792
mp-643370,38.587
mp-22441,121.859
mp-13811,104.102
mp-18513,35.573
mp-19796,177.267
mp-22719,107.725
mp-6167,124.323
mp-6122,120.71
mp-20098,85.368
mp-984876,103.917
mp-29352,86.049
mp-6779,102.385
mp-1025237,96.473
mp-28978,33.026
mp-862631,31.487
mp-863021,105.611
mp-9711,159.326
mp-17612,71.162
mp-3359,96.443
mp-1079630,140.02
mp-6081,81.257
mp-3397,64.743
mp-9238,-14037319.647
mp-23137,113.974
mp-20674,107.52
mp-7251,133.322
mp-6430,155.406
mp-6492,129.55
mp-6613,137.826
mp-12385,135.914
mp-7739,56.113
mp-9307,53.731
mp-549970,124.748
mp-5900,48.085
mp-8335,105.829
mp-3813,55.272
mp-10669,33.114
mp-9578,35.047
mp-7377,31.429
mp-3857,66.543
mp-1013734,38.422
mp-567666,24.629
mp-1013549,35.813
mp-8306,31.23
mp-1029573,37.747
mp-754128,124.136
mp-556004,38.546
mp-21445,84.511
mp-20352,87.964
mp-22352,201.204
mp-13288,12.858
mp-6474,127.395
mp-9324,32.686
mp-10736,12.544
mp-8868,1.319
mp-8846,160.248
mp-1029640,48.894
mp-1029537,44.581
mp-12814,26.349
mp-754940,39.278
mp-29243,36.771
mp-756235,19.59
mp-6345,118.047
mp-770118,86.219
mp-755895,119.003
mp-9179,59.427
mp-8300,38.918
mp-30892,24.169
mp-1023127,97.683
mp-640551,74.091
mp-643409,103.322
mp-20897,93.404
mp-568809,28.583
mp-570677,29.211
mp-29621,6.865
mp-989542,22.374
mp-557862,45.872
mp-555166,31.441
mp-569114,28.003
mp-1814,52.275
mp-7359,44.723
mp-996979,67.271
mp-996990,82.961
mp-551,42.631
mp-9844,88.056
mp-4202,84.0
mp-1903,50.737
mp-16483,79.367
mp-12549,85.769
mp-13272,43.108
mp-13149,48.725
mp-9744,58.991
mp-8458,68.239
mp-570775,30.79
mp-30363,44.664
